Num_Acc,date,temperature,dew_point,humidity,perspitation,wind,wind_speed,wind_gust,pressure,visibility,condition
202300016759,2023-12-25T16:30:00+01:00,-2.2222222222222223,-2.7777777777777777,,0.0,VAR,3.0,0.0,0.00028760000000000005,,Fair
202200028516,2022-07-21T06:35:00+02:00,18.88888888888889,16.11111111111111,,0.0,VAR,1.0,0.0,0.00029890000000000006,6,Partly Cloudy
202300050698,2023-06-13T16:30:00+02:00,17.77777777777778,17.22222222222222,,0.0,VAR,2.0,0.0,0.00029120000000000003,6,Fair
