Num_Acc,date,temperature,dew_point,humidity,perspitation,wind,wind_speed,wind_gust,pressure,visibility,condition
202200002004,2022-03-23T00:30:00+01:00,10.555555555555555,2.2222222222222223,,0.0,SE,3.0,0.0,0.0003011,12,N/A
202200002001,2022-11-25T21:17:00+01:00,10.0,8.88888888888889,,0.0,WSW,8.0,0.0,0.00029560000000000003,,Cloudy
202200002002,2022-10-19T10:20:00+02:00,15.0,14.444444444444445,,0.0,ESE,6.0,0.0,0.0002986,12,N/A
202200002003,2022-06-04T18:35:00+02:00,17.77777777777778,16.11111111111111,,0.0,CALM,0.0,0.0,0.00029620000000000004,,Fair
202200002005,2022-10-19T21:35:00+02:00,17.77777777777778,15.555555555555555,,0.0,SE,5.0,0.0,0.0002968,12,N/A
202200002008,2022-03-22T22:55:00+01:00,12.777777777777779,2.2222222222222223,,0.0,SSE,4.0,13.0,0.00030100000000000005,12,Fair
202200002007,2022-08-29T15:03:00+02:00,17.22222222222222,15.0,,0.0,CALM,0.0,0.0,0.0002932,6,Fair
202200002006,2022-06-05T02:54:00+02:00,16.11111111111111,13.88888888888889,,0.0,WSW,3.0,0.0,0.0002999,,Fair
202200002010,2022-10-19T07:56:00+02:00,14.444444444444445,13.88888888888889,,0.0,E,5.0,0.0,0.0002988,12,N/A
202200002009,2022-11-24T18:30:00+01:00,7.222222222222222,6.111111111111111,,0.0,SW,3.0,0.0,0.00029570000000000003,6,Mostly Cloudy
202200002012,2022-03-23T18:50:00+01:00,14.444444444444445,-1.6666666666666667,,0.0,ESE,5.0,0.0,0.00030100000000000005,12,N/A
202200002011,2022-06-03T19:30:00+02:00,23.88888888888889,15.0,,0.0,WNW,4.0,11.0,0.0002973,,Fair
202200002014,2022-11-23T16:08:00+01:00,8.88888888888889,8.88888888888889,,0.0,,0.0,0.0,0.0002815,,Mist
202200002015,2022-10-19T12:20:00+02:00,17.22222222222222,14.444444444444445,,0.0,ESE,8.0,0.0,0.00029840000000000004,12,N/A
202200002013,2022-11-24T18:21:00+01:00,11.11111111111111,9.444444444444445,,0.0,SSE,1.0,0.0,0.0002954,,Light Rain Shower
202200002016,2022-06-03T18:30:00+02:00,18.88888888888889,12.222222222222221,,0.0,NNE,7.0,0.0,0.00029620000000000004,,Fair
202200002017,2022-03-23T03:20:00+01:00,8.88888888888889,1.1111111111111112,,0.0,SSE,6.0,0.0,0.0003011,12,N/A
202200002019,2022-10-19T17:50:00+02:00,21.11111111111111,16.11111111111111,,0.0,ESE,7.0,18.0,0.0002972,12,Fair
202200002018,2022-10-02T21:10:00+02:00,18.88888888888889,15.0,,0.0,VAR,2.0,0.0,0.00030240000000000003,6,Fair
202200002020,2022-03-22T17:55:00+01:00,17.77777777777778,0.5555555555555556,,0.0,SE,12.0,0.0,0.0003006,12,N/A
202200002023,2022-10-19T17:15:00+02:00,21.11111111111111,16.11111111111111,,0.0,ESE,7.0,18.0,0.0002972,12,Fair
202200002021,2022-06-04T21:57:00+02:00,21.11111111111111,16.11111111111111,,0.0,NE,10.0,0.0,0.00029620000000000004,,Mostly Cloudy
202200002022,2022-03-02T19:05:00+01:00,10.555555555555555,2.2222222222222223,,0.0,SSE,4.0,7.0,0.00029820000000000004,11,Fair
202200002024,2022-11-23T18:30:00+01:00,12.222222222222221,3.888888888888889,,0.0,WNW,6.0,0.0,0.00029640000000000005,,Fair
202200002026,2022-03-23T13:05:00+01:00,17.77777777777778,-0.5555555555555556,,0.0,SE,3.0,0.0,0.0003015,12,N/A
202200002027,2022-10-19T19:30:00+02:00,19.444444444444443,16.11111111111111,,0.0,ESE,9.0,0.0,0.0002968,12,N/A
202200002025,2022-07-24T20:20:00+02:00,26.11111111111111,16.11111111111111,,0.0,NW,3.0,0.0,0.00029590000000000004,,Fair
202200002029,2022-11-24T15:51:00+01:00,6.111111111111111,5.0,,0.0,SSW,6.0,0.0,0.0002951,6,Fair
202200002030,2022-12-28T19:35:00+01:00,8.88888888888889,7.222222222222222,,0.0,S,20.0,0.0,0.000297,6,Light Drizzle
202200002032,2022-10-19T15:15:00+02:00,20.555555555555557,15.555555555555555,,0.0,ESE,6.0,0.0,0.0002977,12,N/A
202200002033,2022-11-24T07:10:00+01:00,7.777777777777778,5.0,,0.0,SW,12.0,0.0,0.00029420000000000005,6,Fair
202200002028,2022-06-01T21:15:00+02:00,inconnu,inconnu,,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu
202200002034,2022-06-03T20:30:00+02:00,21.11111111111111,16.11111111111111,,0.0,WNW,4.0,7.0,0.0002963,12,Light Rain Shower
202200002031,2022-06-02T20:50:00+02:00,inconnu,inconnu,,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu
202200002035,2022-09-24T00:04:00+02:00,13.88888888888889,12.222222222222221,,0.0,VAR,3.0,0.0,0.0002842,6,Cloudy
202200002036,2022-10-19T07:50:00+02:00,14.444444444444445,13.88888888888889,,0.0,E,5.0,0.0,0.0002988,12,N/A
202200002037,2022-06-03T17:45:00+02:00,27.22222222222222,14.444444444444445,,0.0,E,2.0,4.0,0.0002932,,Fair
202200002039,2022-10-19T19:30:00+02:00,19.444444444444443,16.11111111111111,,0.0,ESE,9.0,0.0,0.0002968,12,N/A
202200002040,2022-06-03T23:40:00+02:00,21.666666666666668,14.444444444444445,,0.0,W,4.0,11.0,0.0002923,,Rain
202200002042,2022-10-18T23:30:00+02:00,16.11111111111111,15.0,,0.0,E,4.0,11.0,0.00030000000000000003,12,Fair
202200002041,2022-04-13T19:00:00+02:00,13.88888888888889,8.88888888888889,,0.0,N,5.0,0.0,0.00029160000000000004,,Fair
202200002043,2022-03-22T19:40:00+01:00,16.11111111111111,1.1111111111111112,,0.0,SE,7.0,13.0,0.00030070000000000004,12,Fair
202200002038,2022-07-29T23:55:00+02:00,inconnu,inconnu,,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu
202200002044,2022-11-24T11:05:00+01:00,7.777777777777778,6.111111111111111,,0.0,SW,14.0,0.0,0.00029440000000000005,6,Fair
202200002045,2022-06-03T16:00:00+02:00,17.22222222222222,16.11111111111111,,0.0,VAR,2.0,0.0,0.00029130000000000003,,Fair
202200002046,2022-10-18T09:48:00+02:00,16.11111111111111,15.555555555555555,,0.0,CALM,0.0,0.0,0.00030040000000000004,12,Fair
202200002047,2022-11-24T08:20:00+01:00,8.88888888888889,6.111111111111111,,0.0,SW,10.0,0.0,0.00029570000000000003,6,Partly Cloudy
202200002049,2022-10-19T16:15:00+02:00,21.11111111111111,16.11111111111111,,0.0,ESE,9.0,0.0,0.0002974,12,N/A
202200002050,2022-03-22T19:00:00+01:00,16.11111111111111,1.1111111111111112,,0.0,SE,7.0,13.0,0.00030070000000000004,12,Fair
202200002048,2022-06-06T18:20:00+02:00,21.666666666666668,13.88888888888889,,0.0,CALM,0.0,4.0,0.0002915,,Fair
202200002051,2022-11-24T12:50:00+01:00,7.222222222222222,6.111111111111111,,0.0,SW,12.0,0.0,0.0002952,,Fair
202200002054,2022-10-19T18:05:00+02:00,20.555555555555557,16.11111111111111,,0.0,ESE,8.0,0.0,0.000297,12,N/A
202200002053,2022-03-23T18:40:00+01:00,8.88888888888889,1.1111111111111112,,0.0,ESE,3.0,0.0,0.00030100000000000005,6,Fair
202200002052,2022-12-20T19:15:00+01:00,12.222222222222221,8.88888888888889,,0.0,SE,7.0,0.0,0.00029790000000000003,6,Fair
202200002055,2022-11-24T07:50:00+01:00,7.777777777777778,5.0,,0.0,SW,16.0,0.0,0.00029190000000000005,,Mostly Cloudy
202200002056,2022-03-23T08:57:00+01:00,7.222222222222222,0.0,,0.0,VAR,2.0,0.0,0.00030040000000000004,6,Fair
202200002058,2022-10-19T17:15:00+02:00,13.88888888888889,13.88888888888889,,0.0,E,8.0,0.0,0.00029780000000000003,6,Partly Cloudy
202200002057,2022-06-05T23:30:00+02:00,22.22222222222222,17.22222222222222,,0.0,W,10.0,0.0,0.00029,,Mostly Cloudy
202200002059,2022-09-20T13:40:00+02:00,2.7777777777777777,2.2222222222222223,,0.0,NW,3.0,0.0,0.0002925,,Fair
202200002060,2022-10-19T09:15:00+02:00,13.88888888888889,13.88888888888889,,0.0,NE,5.0,0.0,0.0002995,6,Fair
