Num_Acc,date,temperature,dew_point,humidity,perspitation,wind,wind_speed,wind_gust,pressure,visibility,condition
202300039699,2023-05-18T09:15:00+02:00,7.777777777777778,6.111111111111111,,0.0,NNE,7.0,0.0,0.0002994,,Fair
202300039702,2023-05-17T14:55:00+02:00,7.777777777777778,5.0,,0.0,N,7.0,0.0,0.0003006,6,Fair
202300039701,2023-11-04T11:00:00+01:00,10.555555555555555,8.333333333333334,,0.0,SSW,21.0,37.0,0.00027840000000000005,,Light Rain / Windy
202300039704,2023-02-24T09:40:00+01:00,2.2222222222222223,2.2222222222222223,,0.0,WSW,9.0,0.0,0.0002915,,Light Rain
202300039703,2023-11-05T02:37:00+01:00,10.0,7.777777777777778,,0.1,SW,15.0,0.0,0.0002774,,Rain
202300039705,2023-05-18T19:55:00+02:00,12.222222222222221,7.777777777777778,,0.0,N,8.0,0.0,0.0002997,,Fair
202300039707,2023-02-23T18:20:00+01:00,7.222222222222222,6.111111111111111,,0.0,E,5.0,0.0,0.00029690000000000006,,Light Rain
202300039706,2023-11-05T14:50:00+01:00,12.222222222222221,6.111111111111111,,0.0,S,15.0,0.0,0.0002852,6,Fair
202300039708,2023-05-18T00:50:00+02:00,11.11111111111111,2.2222222222222223,,0.0,NNW,7.0,0.0,0.0002811,,Fair
202300039709,2023-11-05T15:13:00+01:00,12.777777777777779,6.111111111111111,,0.0,S,16.0,0.0,0.0002854,6,Fair
202300039710,2023-05-18T01:00:00+02:00,10.0,7.222222222222222,,0.0,NE,5.0,0.0,0.0003006,,Fair
202300039700,2023-02-24T14:30:00+01:00,inconnu,inconnu,,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu,inconnu
202300039711,2023-02-21T20:15:00+01:00,6.111111111111111,6.111111111111111,,0.0,S,7.0,0.0,0.0002994,6,Cloudy
202300039712,2023-02-24T19:20:00+01:00,3.888888888888889,2.2222222222222223,,0.0,W,3.0,0.0,0.000297,6,Fair
202300039714,2023-11-05T17:00:00+01:00,11.666666666666666,7.222222222222222,,0.0,SW,8.0,0.0,0.00028300000000000005,,N/A
202300039713,2023-05-17T17:45:00+02:00,11.11111111111111,8.88888888888889,,0.0,NE,6.0,0.0,0.00030090000000000005,,Fair
